20170101T09:32:04.294888000Z_46.242.8.55.s2c_ndttrace,0,0,a-->b,4,0,0.000942,0,0,0,0.997174,0,0,0,0.03497,6,0,6,0.022136,6,0,6,0.019428,6,0,6,0.016131
20170101T11:31:45.482875000Z_62.133.162.244.s2c_ndttrace,0,0,a-->b,4,0,0.01436,0,0,0,0.992167,0,0,0,0.100522,0,0,0,0.097911,0,0,0,0.097911,0,0,0,0.0953
20170101T12:13:59.667856000Z_37.212.255.191.s2c_ndttrace,0,0,a-->b,4,0,0.002769,0,0,0,0.921359,0,0,0,0.048735,0,0,0,0.033598,0,0,0,0.030644,0,0,0,0.028614
20170101T12:17:59.239544000Z_178.120.214.237.s2c_ndttrace,0,0,a-->b,4,0,0.003877,0,0,0,0.91392,0,0,0,0.04556,0,0,0,0.034703,0,0,0,0.033152,0,0,0,0.031989
20170101T12:25:55.215438000Z_178.120.214.237.s2c_ndttrace,0,0,a-->b,4,0,0.002824,0,0,0,0.924511,0,0,0,0.044616,0,0,0,0.03125,0,0,0,0.028991,0,0,0,0.027673
20170101T12:35:51.644350000Z_46.148.231.50.s2c_ndttrace,0,0,a-->b,4,0,0.008081,0,0,0,0.97702,0,0,0,0.04697,0,0,0,0.041667,0,0,0,0.041162,0,0,0,0.039646
20170101T12:35:53.774637000Z_93.84.217.93.s2c_ndttrace,0,0,a-->b,4,0,0.014047,0,0,0,1,0,0,0,0.056856,0,0,0,0.050502,0,0,0,0.050167,0,0,0,0.049833
20170101T12:47:19.218371000Z_37.215.73.209.s2c_ndttrace,0,0,a-->b,4,0,0.015481,0,0,0,0.999671,0,0,0,0.062912,0,0,0,0.059618,0,0,0,0.059289,0,0,0,0.059289
20170101T13:04:03.318038000Z_176.60.177.51.s2c_ndttrace,0,0,a-->b,4,0,0.028302,0,0,0,0.940252,0,0,0,0.18239,0,0,0,0.169811,0,0,0,0.169811,0,0,0,0.169811
20170101T13:04:55.403867000Z_185.113.39.95.s2c_ndttrace,0,0,a-->b,4,0,0.003002,0,0,0,0.993995,0,0,0,0.04873,0,0,0,0.029792,0,0,0,0.024942,0,0,0,0.021709
20170101T13:06:07.937799000Z_46.61.242.35.s2c_ndttrace,0,0,a-->b,4,0,0.00613,0,0,0,0.874781,0,0,0,0.096497,0,0,0,0.084764,0,0,0,0.083363,0,0,0,0.081611
20170101T13:12:53.168433000Z_45.56.98.222.s2c_ndttrace,0,0,b-->a,2,0,0.138889,0,0,0,0.888889,0,0,0,0.694444,0,0,0,0.694444,0,0,0,0.694444,0,0,0,0.694444
20170101T13:24:09.524083000Z_93.85.141.205.s2c_ndttrace,0,0,a-->b,4,0,0.015532,0,0,0,1,0,0,0,0.05618,0,0,0,0.052875,0,0,0,0.052875,0,0,0,0.052875
20170101T13:30:07.295723000Z_37.45.71.122.s2c_ndttrace,0,0,a-->b,4,0,0.023705,0,0,0,0.875329,0,0,0,0.114135,0,0,0,0.1036,0,0,0,0.100088,0,0,0,0.097454
20170101T13:34:13.192049000Z_109.252.99.229.s2c_ndttrace,0,0,a-->b,4,0,0.007557,0,0,0,0.99919,0,0,0,0.034278,0,0,0,0.02915,0,0,0,0.02888,0,0,0,0.02834
20170101T13:56:08.661743000Z_31.135.231.248.s2c_ndttrace,0,0,a-->b,4,0,0.002725,0,0,0,0.994307,0,0,0,0.033493,0,0,0,0.020411,0,0,0,0.01823,0,0,0,0.016898
20170101T13:56:17.54831000Z_46.216.168.32.s2c_ndttrace,0,0,a-->b,2,0,0.070175,0,0,0,0.900585,0,0,0,0.324561,0,0,0,0.312865,0,0,0,0.312865,0,0,0,0.312865
20170101T14:09:48.268081000Z_188.16.83.146.s2c_ndttrace,0,0,a-->b,4,0,0.00407,0,1,7,0.985433,0,1,7,0.066624,0,1,7,0.058912,0,1,7,0.056984,0,1,7,0.055484
20170101T14:12:07.140106000Z_89.151.188.107.s2c_ndttrace,0,0,a-->b,2,0,0.009124,0,0,0,0.968978,0,0,0,0.067518,0,0,0,0.060219,0,0,0,0.060219,0,0,0,0.058394
20170101T14:21:58.791026000Z_109.252.99.229.s2c_ndttrace,0,0,a-->b,4,0,0.01173,0,0,0,1,0,0,0,0.045588,0,0,0,0.043188,0,0,0,0.042122,0,0,0,0.041856
20170101T15:30:38.702211000Z_2.132.234.249.s2c_ndttrace,0,0,a-->b,4,0,0.011111,0,0,0,0.981481,0,0,0,0.122222,0,0,0,0.112346,0,0,0,0.111111,0,0,0,0.111111
20170101T15:37:47.756722000Z_85.150.178.10.s2c_ndttrace,0,0,b-->a,4,0,0.00357,0,0,0,0.999771,0,0,0,0.020731,0,0,0,0.015096,0,0,0,0.014509,0,0,0,0.014331
20170101T15:38:58.764264000Z_85.150.178.10.s2c_ndttrace,0,0,b-->a,4,0,0.004429,0,0,0,0.998076,0,0,0,0.025309,0,0,0,0.019615,0,0,0,0.01883,0,0,0,0.018526
20170101T15:44:34.979788000Z_93.123.251.151.s2c_ndttrace,0,0,a-->b,4,0,0.001441,0,0,0,0.989031,0,0,0,0.03691,0,0,0,0.022338,0,0,0,0.017374,0,0,0,0.014972
20170101T15:47:28.93551000Z_134.19.178.185.s2c_ndttrace,0,0,a-->b,4,0,0.016181,0,0,0,0.995685,0,0,0,0.079827,0,0,0,0.075512,0,0,0,0.075512,0,0,0,0.075512
20170101T16:05:39.108685000Z_31.155.216.194.s2c_ndttrace,0,0,a-->b,4,0,0.005308,0,0,0,0.988323,0,0,0,0.037155,0,0,0,0.026185,0,0,0,0.024062,0,0,0,0.023001
20170101T16:20:04.610316000Z_85.95.187.174.s2c_ndttrace,0,0,a-->b,4,0,0.009547,0,0,0,0.959427,0,0,0,0.0358,0,0,0,0.033413,0,0,0,0.031026,0,0,0,0.02864
20170101T17:12:42.35513000Z_37.44.125.1.s2c_ndttrace,0,0,a-->b,4,0,0.024631,0,0,0,0.79803,0,0,0,0.126437,0,0,0,0.110016,0,0,0,0.10509,0,0,0,0.101806
20170101T17:15:16.709180000Z_90.188.157.234.s2c_ndttrace,0,0,a-->b,4,0,0.014371,0,0,0,0.951437,0,0,0,0.081764,0,0,0,0.06442,0,0,0,0.060456,0,0,0,0.058474
20170101T17:15:18.508121000Z_146.255.183.44.s2c_ndttrace,0,0,a-->b,4,0,0.008372,0,0,0,0.86689,0,0,0,0.072625,0,0,0,0.066136,0,0,0,0.064462,0,0,0,0.063834
20170101T17:17:13.839082000Z_90.188.157.234.s2c_ndttrace,0,0,a-->b,4,0,0.008395,0,0,0,0.951605,0,0,0,0.054815,0,0,0,0.040494,0,0,0,0.039012,0,0,0,0.037531
20170101T17:51:53.982518000Z_62.133.162.170.s2c_ndttrace,0,0,a-->b,4,0,0.011667,0,0,0,0.986667,0,0,0,0.061667,0,0,0,0.056667,0,0,0,0.055833,0,0,0,0.055
